Geneid	0_R1	0_R2	5_R1	5_R2	10_R1	10_R2	15_R1	15_R2	Entity	Symbol	relative changes	negligible changes	Genes with too high Zero count	Outlier
gene-PA2589	7.450158440036159	5.835748809619469	2.3241288148395625	4.171703999245756	0.4461242509573826	0.7848659017363588	0.0	0.0	host	gene-PA2589	1.0250243926377247	0	0	1
gene-PA1795	856.1473740674885	478.5314023887965	502.5928562090554	501.8559911092645	84.7636076819027	73.77739476321773	23.425102642250824	17.7570038140175	host	cysS	0.9147571942444791	0	1	1
gene-PA2468	487.3645312856987	212.78037967381755	14.525805092747266	12.515111997737268	4.461242509573826	2.747030656077256	1.0075312964408958	1.2461055308082458	host	foxI	1.7818608645265022	0	0	1
gene-PA4119	8.691851513375518	6.733556318791695	9.877547463068142	8.760578398416088	4.015118258616443	1.5697318034727177	1.5112969446613436	0.9345791481061844	host	aph	0.6564785301814267	0	0	1
gene-PA2246	18.625396100090395	9.426978846308373	5.229289833389016	8.760578398416088	0.4461242509573826	0.7848659017363588	0.0	0.6230527654041229	host	bkdR	1.1164242419302939	0	0	1
gene-PA1033	13.658623806732956	8.97807509172226	7.553418648228578	4.588874399170332	1.338372752872148	1.5697318034727177	0.7556484723306718	0.3115263827020614	host	gene-PA1033	0.9302546435723449	0	0	1
gene-PA2214	1.86253961000904	0.897807509172226	1.743096611129672	0.4171703999245756	0.0	0.7848659017363588	0.0	0.0	host	gene-PA2214	0.9957415446372454	0	0	1
gene-PA3210	15.521163416741995	8.080267582550034	8.13445085193847	10.429259998114391	3.1228697567016783	1.1772988526045385	0.5037656482204479	2.492211061616492	host	trkH	0.7943048135951487	0	0	1
gene-PA4724	40.97587142019887	18.853957692616746	104.00476446407043	16.686815996983025	3.568994007659061	1.962164754340897	0.5037656482204479	0.6230527654041229	host	gene-PA4724	1.4149091405350338	0	0	1
gene-PA5368	28.55894068680528	16.60943891968618	24.40335255581541	25.44739439539911	10.2608577720198	10.595689673440845	6.045187778645374	2.803737444318553	host	pstC	0.5790556628783915	0	0	1
gene-PA1496	10.554391123384558	10.773690110066712	5.229289833389016	5.423215199019484	0.0	0.3924329508681794	0.7556484723306718	1.2461055308082458	host	gene-PA1496	0.9693893939167796	0	0	1
gene-PA3978	32.904866443493034	23.791898993063988	20.917159333556064	24.61305359554996	6.691863764360739	5.494061312154512	2.015062592881792	3.1152638270206143	host	gene-PA3978	0.7461521155083385	0	0	1
gene-PA3440	34.76740605350207	20.6495727109612	19.17406272242639	16.686815996983025	3.568994007659061	2.3545977052090765	0.7556484723306718	0.9345791481061844	host	gene-PA3440	0.9393034981176118	0	0	1
gene-PA2568	68.29311903366478	29.178744048097343	24.984384759525295	30.8706095944186	3.568994007659061	5.886494263022692	1.0075312964408958	1.5576319135103072	host	gene-PA2568	1.0441526589628785	0	0	1
gene-PA3091	151.48655494740188	74.51802326129476	39.51018985227257	34.625143193739774	7.137988015318122	6.278927213890871	2.770711065212464	2.492211061616492	host	gene-PA3091	1.2118550628328384	0	0	1
gene-PA0504	24.833861466787194	15.711631410513954	23.241288148395626	27.95041679494657	5.799615262445974	4.316762459549974	0.7556484723306718	0.3115263827020614	host	bioD	0.8307503500233548	0	0	1
gene-PA4546	40.35502488352919	23.34299523847788	25.56541696323519	27.95041679494657	6.245739513403357	3.531896557813615	1.5112969446613436	1.8691582962123687	host	pilS	0.8516231494314349	0	0	1
